brand,category,homeUrl,finalUrl,status,homepageCrawlable,structuredData,score,pricing,about,customers,resources,docs,trust,compare,title,fetchError
"HubSpot","CRM / marketing","https://www.hubspot.com","https://www.hubspot.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","HubSpot | Software &amp; Tools for your Business - Homepage",""
"Salesforce","CRM / enterprise","https://www.salesforce.com","https://www.salesforce.com/ap/?ir=1","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Salesforce: The Customer Company | Salesforce AP",""
"Zendesk","Customer support","https://www.zendesk.com","https://www.zendesk.hk/","200","TRUE","FALSE","5","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","人工智能驅動的服務平台 | Zendesk",""
"Intercom","Customer support","https://www.intercom.com","https://www.intercom.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Intercom | The only helpdesk designed for the AI Agent era",""
"Notion","Productivity","https://www.notion.com","https://www.notion.com/","200","TRUE","FALSE","6","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","The AI workspace that works for you. | Notion",""
"Airtable","Productivity","https://www.airtable.com","https://www.airtable.com/","200","TRUE","FALSE","6","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Airtable: Build Enterprise-ready AI Workflows, Apps &amp; Agents | Airtable",""
"Asana","Project management","https://asana.com","https://asana.com/","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Work &amp; Project Management for Human-Agent Teams • Asana",""
"Monday.com","Project management","https://monday.com","https://monday.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","The AI Work Platform for People &amp; Agents | monday.com",""
"ClickUp","Project management","https://clickup.com","https://clickup.com/","200","TRUE","FALSE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","ClickUp™ | Maximize productivity • Software, AI, and humans converge",""
"Linear","Product management","https://linear.app","https://linear.app/","200","TRUE","FALSE","6","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","",""
"Figma","Design","https://www.figma.com","https://www.figma.com/","200","TRUE","FALSE","6","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Figma: The Collaborative Interface Design Tool",""
"Canva","Design","https://www.canva.com","https://www.canva.com/","403","FALSE","FALSE","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Canva",""
"Miro","Collaboration","https://miro.com","https://miro.com/","200","TRUE","FALSE","7","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","AI Innovation Workspace | Miro",""
"Typeform","Forms","https://www.typeform.com","https://www.typeform.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","Forms &amp; Automated Workflows, Powered by AI | Typeform",""
"SurveyMonkey","Forms","https://www.surveymonkey.com","https://www.surveymonkey.com/","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","SurveyMonkey: The World’s Most Popular Survey Platform",""
"Calendly","Scheduling","https://calendly.com","https://calendly.com/","200","TRUE","FALSE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Free Online Appointment Scheduling Software | Calendly",""
"Slack","Collaboration","https://slack.com","https://slack.com/","200","TRUE","FALSE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Slack | AI Work Platform &amp; Productivity Tools",""
"Zoom","Communication","https://zoom.us","https://www.zoom.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","One platform to connect | Zoom",""
"Loom","Video","https://www.loom.com","https://www.loom.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Free screen recorder for Mac and PC | Loom",""
"Zapier","Automation","https://zapier.com","https://zapier.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Zapier: Automate AI Workflows, Agents, and Apps",""
"Make","Automation","https://www.make.com","https://www.make.com/en","403","FALSE","FALSE","2","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","Just a moment...",""
"Segment","Customer data","https://segment.com","https://www.twilio.com/en-us/segment","200","TRUE","FALSE","6","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Twilio Segment Customer Data Platform | Twilio",""
"Amplitude","Product analytics","https://amplitude.com","https://amplitude.com/","200","TRUE","FALSE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","AI Analytics Platform for Modern Digital Analytics",""
"Mixpanel","Product analytics","https://mixpanel.com","https://mixpanel.com/home/","200","FALSE","FALSE","5","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Mixpanel: AI Digital Analytics Platform for Product Teams",""
"Hotjar","Analytics","https://www.hotjar.com","https://contentsquare.com/hotjar/?utm_campaign=exp__hj_hp_redirection","200","TRUE","FALSE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Contentsquare + Hotjar | powering better digital experiences",""
"FullStory","Analytics","https://www.fullstory.com","https://www.fullstory.com/","200","TRUE","FALSE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","",""
"Semrush","SEO","https://www.semrush.com","https://www.semrush.com/","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Semrush: Your Unfair Advantage for Growing Brand Visibility",""
"Ahrefs","SEO","https://ahrefs.com","https://ahrefs.com/","200","TRUE","TRUE","6","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","Ahrefs—AI Marketing Platform Powered by Big Data",""
"Moz","SEO","https://moz.com","https://moz.com/","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Moz - SEO Software for Smarter Marketing",""
"Webflow","Website builder","https://webflow.com","https://webflow.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Webflow: The agentic web platform for modern businesses",""
"Wix","Website builder","https://www.wix.com","https://www.wix.com/","200","TRUE","TRUE","6","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","Website Builder - Create a Free Website In Minutes | Wix.com",""
"Shopify","Commerce","https://www.shopify.com","https://www.shopify.com/","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Shopify: The All-in-One Commerce Platform for Businesses - Shopify",""
"Stripe","Payments","https://stripe.com","https://stripe.com/en-hk","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Stripe | Financial Infrastructure to Grow Your Revenue",""
"Gusto","HR","https://gusto.com","https://gusto.com/","403","FALSE","FALSE","0","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Just a moment...",""
"Rippling","HR","https://www.rippling.com","https://www.rippling.com/","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Rippling: #1 Workforce Management System | HR, IT, Finance",""
"Deel","HR","https://www.deel.com","https://www.deel.com/","200","TRUE","FALSE","7","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","Deel | Global Payroll, Compliance, HR Solutions | HRIS",""
"Brex","Finance","https://www.brex.com","https://www.brex.com/","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Brex: The Modern Finance Software Platform | Spend Smarter",""
"Ramp","Finance","https://ramp.com","https://ramp.com/","200","TRUE","FALSE","6","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","",""
"Mercury","Finance","https://mercury.com","https://mercury.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Online Business Banking For Startups, Small Businesses &amp; Scaling Companies",""
"Datadog","DevOps","https://www.datadoghq.com","https://www.datadoghq.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Cloud Monitoring as a Service | Datadog",""
"New Relic","DevOps","https://newrelic.com","https://newrelic.com/","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","AI-powered Observability",""
"Sentry","DevOps","https://sentry.io","https://sentry.io/welcome/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Application Performance Monitoring &amp; Error Tracking Software | Sentry",""
"CircleCI","DevOps","https://circleci.com","https://circleci.com/","200","TRUE","TRUE","8","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","Autonomous validation for the AI era - CircleCI",""
"Vercel","Developer platform","https://vercel.com","https://vercel.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Agentic Infrastructure",""
"Netlify","Developer platform","https://www.netlify.com","https://www.netlify.com/","200","TRUE","FALSE","6","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Push your ideas to the web | Netlify",""
"Cloudflare","Infrastructure","https://www.cloudflare.com","https://www.cloudflare.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Cloudflare: Build for the agent era",""
"MongoDB","Database","https://www.mongodb.com","https://www.mongodb.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","MongoDB: The World’s Leading Modern Data Platform | MongoDB",""
"Supabase","Database","https://supabase.com","https://supabase.com/","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Supabase | The Postgres Development Platform.",""
"Twilio","Communications API","https://www.twilio.com","https://www.twilio.com/en-us","200","TRUE","TRUE","7","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Conversational AI and APIs for SMS, Email, Voice | Twilio",""
"Mailchimp","Email marketing","https://mailchimp.com","https://mailchimp.com/","200","TRUE","TRUE","6","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Email &amp; SMS Marketing Platform | Mailchimp",""
